城市	采矿业	电力、热力、燃气及水生产和供应业	房地产业	建筑业	交通运输、仓储和邮政业	教育	金融业	居民服务、修理和其他服务业	科学研究和技术服务业	农、林、牧、渔业	批发和零售业	其他	水利、环境和公共设施管理业	卫生和社会工作	文化、体育和娱乐业	信息传输、软件和信息技术服务业	制造业	住宿和餐饮业	租赁和商务服务业
遵化	4600	6387	5514	7317	7497	5504	6768			4000	5000	7102		5808	5500	7391	7925	8190	7622
瑞安	1000	6666	11035	10500	6168	6145	8108	6142			3923	8046	12500	25110		5926	6683	8180	5000
宜城	1000		17500	8080	7962	4200	8844	3000		12230	5000	8637		5853	7000	5615	8444	10214	7458
尚志		3000	19688	12538	6720	6048	6672	3000		3461		8161		18415	4000	5384	4224	7742	6058
伊犁	5000			8862	3000	3185	17681					7579		11370	5000	7273	6303	8280	
黔南		3000	6075	7511	5363	7852	11500	7750		3812	5000	6590	6500	8244	3000	6485	5158	6320	3292
本溪	6812		7080	11317	8254	4769	4783	12142		6590	7318	7170	40000	10689	2900	6038	5931	8150	7286
锦州	2166	3666	6194	7016	7052	6054	5549	9895		8055	7444	6817	18611	10316	3636	5258	6068	6015	6206
泰国			40000	14666	5000	5000						15853				25000	7964		5000
大庆	4854	10541	7981	6558	5893	6584	7701	11500		3580	4555	6524	3000	12584	6666	5504	6747	7882	5289
其他	26320	15781	30357	12987	11828	5250	25267	14500		11692		13019	17500	15600	15576	19751	13888	14879	15401
胶南	4200	3000	6330	6047	5857	4710	9925	12733	7000	7750	5400	7573		21242	3000	5833	6343	6840	3285
加拿大					7000	12500			17500			17500					10608		
商丘	4055	3000	5647	6990	7558	4744	7182	5465	6000	6184	6234	7419		7330	4333	5705	7547	8798	8716
天水	3000	3000	3083	12746	6221	9573	12538	3000		20000	4875	6938	5000	10823		5741	6407	8425	5800
绍兴	1035	9200	5730	8790	5643	5852	11045	4700	6833	6247	7141	7052	9750	9123	8333	6457	7064	7624	7691
肥城	4200	3000	8322	7357	6053	5666	7005	13750	9000	3666	5235	7662		20814	3250	5796	7730	7479	3333
黄南藏族自治州				9000			7000					7395		17000		5800	5000	9000	
怒江傈僳族自治州			9000	9000	7000							7064		16071		5000		9000	
海城	2333		6916	10941	11913	5901	5912	6000		9875	9000	7532	40000	14122	5000	5160	6864	5126	7546
六盘水	8861	3000	7822	6890	8460	7432	10721			5628	7272	7346	5000	12335	7000	6530	6899	6615	5400
新加坡			7000	23333	12500	5681	17500	9000		12500		12983		24250		17500	9989	8666	
济宁	4090	5685	7015	6377	5571	4834	6276	5833	5521	5012	4690	5591	12734	6807	5169	4895	6291	5605	4179
湘西	3000	4076	7792	7704	4073	4787	8155	3615		5066		6581	4142	13066	1000	5797	5610	6257	3800
芬兰																	5000		
荣成	4333	3000	7632	7204	5336	6076	7341	15000	9000	5285	5222	7474		18480	3000	5821	6934	6820	5375
吴忠		3000	3000	5359	6986	7811	5705			3000		6695		16659	3000	6065	5782	7676	
金华	1000	14641	6861	6410	5945	5703	10416	4496	3000	5652	6170	7144	9986	11876	4864	5471	6163	8115	5899
无锡	4727	6488	6481	6686	5148	5408	7231	5814	9830	6673	5653	5948	9096	8163	5086	5905	5729	5649	5066
雅安			5163	20606	7482	5111	6630	4354		3285	7000	7467	3000	9637	8428	5898	6982	7921	10578
亳州	1285	3400	8161	6798	7298	4806	7610	4200		3000	4846	7217		9977	6894	5821	7142	5153	3457
兴城	1000		5654	11475	10732	5640	5794	6000		9437	9000	7821	40000	13473	4000	5340	7535	7885	10326
临夏				6214	7153	7807	6394			5000		6816		10362	3000	4851	5149	8365	5000
公主岭	4212	3000	5406	8194	4460	5256	9975		3000	7794	5000	6696		9420		6018	6571	8000	4142
邢台	5914	4718	5416	6329	5518	5086	6238	4227	3666	4053	4272	6071	5437	8932	5634	5441	6353	6016	4773
廊坊	6588	5360	10007	6670	4841	4917	7375	5456		5709	6419	5866	4170	8046	4718	5751	5667	6058	6426
湖北				6846								5000							
昆明	3922	4890	7311	6809	6424	5581	7687	5775	5887	6519	5627	6006	5837	9168	5812	5584	5488	6553	4970
深圳	8630	7166	9343	8279	5793	6988	10469	7937	8664	6643	5431	7732	9828	7905	6751	8860	6529	5915	6556
宁波	5788	5428	7824	8698	5789	6209	9876	5854	6397	6539	6691	6937	8465	10188	5589	6662	6424	8488	5487
泉港区	12500		3887	6224	4344	5369	10647	5181	3000		4818	9346		12825	4100	7619	5655	4333	5666
开平		6666	8198	10785	5272	5625	12761			5846	3000	10114		7363		6917	8267	8458	6608
西班牙					9000							5750					5000		
简阳			4257	15583	6388	4971	6670	7000				7482		8768		5748	7835	8275	10296
东营	3991	7571	7319	6125	5465	5794	8444	5408	5758	6707	5823	7140	10804	6847	4569	6289	7042	8398	6514
丹麦												25000					5000		
邯郸	4421	5861	6322	7072	6950	5073	7443	8463	5533	4936	5257	5755	3000	7709	5531	5366	6197	7719	5134
绥芬河		3000	32684	27222	4400	8245	6420	22346		3000		8419	3000	17862	4500	5604	5296	5954	8777
运城		3848	4678	7532	7600	3797	6948	4570		7363	3984	6402	3833	11381	8333	5818	7346	7320	5617
黄石		5000	6696	6398	7035	4662	8107	3000		5438	4764	7035		9927	4760	5919	7991	8830	5223
乌克兰																	5000		
琼海	1000		6986	7861	6367	5666	6000					8110		8611	7000	5611	5182	3000	25000
昌吉回族自治州	3000		5000	8428	3000	3000				5666		4810		14545		4714	4454	5000	4333
挪威						25000											5000		
全国		25000		17500			6230					9794							17500
爱尔兰																	5000		
保山	3000	5000	5210	6934	5543	5722	10557	3250				6817	8000	11404	3000	4722	8301	8925	3111
通化	5324	3000	4398	7180	4366	6559	6754	6543	3000	7370	7666	6848		12540	5555	5318	6451	5368	3711
内蒙古														9000					
上海	10065	7187	8514	8467	6463	7496	11700	6322	10252	8282	6953	8099	10253	9536	7755	9460	7390	6433	7361
潍坊	7576	4752	5930	5286	5319	5084	6671	4931	5318	5259	6266	5429	8782	6683	4221	4801	5413	6335	4469
贺州		3000	8760	4926	7261	5208	9660	3000		3000	12500	7693		14182		5203	7226	7763	6636
梧州		3000	8586	6391	5098	4886	12355	4218		9435	9000	7802		14883	3000	6835	8304	7568	3555
普洱			9000	9111	5105	2944	13281			5210		7308	9000	9984		4907	10117	7383	3846
白城	5127	3000	4688	7256	4563	6839	7846	5133	3000	7287		6805		8177	3857	4921	6490	8294	7772
资阳			8541	18935	6466	4224	6307	6000				7111		8605	9000	5879	7674	7287	10090
连云港	7000	5388	5581	8106	6851	5934	9755	4152	4882	6508	5950	6981	7446	8272	4637	5619	6523	10044	6408
曲靖	25000	3222	6060	4615	5447	4757	10167	2750		3000	4300	7870	8000	13358	6846	5345	7502	6427	3697
长治	6000	3000	6409	6570	7816	6366	6906	4238		8294	9000	7081	8000	10848	4666	5852	7829	8803	4401
海西蒙古族藏族自治州				7000								6422		18600		5800	4000	9000	10750
荷兰																	5000		
湛江	3000	8928	7734	9527	5863	5237	13623	4634	5000	12088	4666	7078		13120	4200	5696	7092	3921	5852
哈尔滨	4508	5611	4666	5323	4592	4877	6607	4626	6535	5045	4203	5040	4761	6869	4641	4415	4758	5145	4563
呼伦贝尔	17500	7000	7857	5430	7175	7288	5597	4555		7076	4600	6555		9672		6113	5644	7171	5083
渭南	9500	4600	4513	7858	8234	5890	8383	4346		5210	6422	6624	3153	6252	4500	6050	6651	6653	5585
鞍山	5260	3000	4768	8665	5360	5233	7571	5181		4976	5375	6179	17190	10044	4533	5302	5610	6929	5515
博尔塔拉蒙古自治州			7000	7666								6394		22500		9000	5000	7000	
长沙	7770	7128	6326	6667	5719	5610	6889	5514	6876	5193	5215	5665	6353	8051	5475	6037	5309	4968	5009
甘南藏族自治州				7666			5000					8574		10000		5000	5000	9000	
乌苏	5000		7000	9894	3000	4446	3000			1000		7165		21081	5000	8846	5000	5000	
兴平	14676	3000	4770	9860	6514	5029	12875	3235	17500	5375	3000	6736	3000	11875	3000	8270	6778	9109	8681
中卫			3000	9557	5090	7719	5916			7000		7752		17880	3000	4986	8265	8500	
葡萄牙																	5000		7807
阿里				14083			7000					8974	7000	24739		6055	5000		4935
泸州		3846	8988	17507	6988	4335	8869	6526			4272	7066	3000	11146	7222	5565	8196	7588	6263
常熟		4846	6267	7479	5520	6001	9379	4894	4904	6846	4739	6532	6967	13240	7032	6229	6502	5991	5674
宁海	1000	6714	11321	6000	6049	5656	9136	6250				8983		17967	12500	6592	6698	8476	5700
安庆	1250	5000	6133	8532	7391	5505	7231	5857	3000	4715	7211	7017		10923	6800	5016	7048	6423	3727
临夏回族自治州				7666			5000					7523		12000		5000	5000		
平度	4500	3000	8238	7166	6285	5864	7698	15208	7000	6500	4290	7473		20613	3266	5827	7230	7101	3750
陇南				8787	7948	6000	16203					6782		12729		5621	7831	9145	5000
日本				12717		7750		12500	17500			11500		21250		15666	12669	12500	11009
越南			40000	12500								7916				25000	13500		
黔东南		3000	9463	6775	6132	9046	11803			4352		6347	6500	7770	3000	6393	5470	5893	4764
奎屯市	5000		5666	8571		4581	3000					6405		16216	5000	9145	5000	5000	
菏泽	4500	4388	5206	6713	6502	5838	6205	6846	5829	5829	4045	6331	15300	7697	4632	6155	6812	7104	4284
德阳	4948		4384	13939	7443	4320	6511	5142	7000	8666	7000	6757	5400	8011	3904	5036	6799	8869	6343
铜仁		3000	7377	6868	7684	8923	17893	5000		4035	5000	7152	5000	12182	9000	6353	6579	6142	3620
丹阳	5000	7000	13767	9299	5246	5149	17115	3250		4900	4500	6484	5142	19363	3470	7207	6079	8714	7395
惠?																	5000		
玉环县	1000	6666	6939	7000	7292	5754	11300	6125				9022		19806		5989	6895	8368	4400
广州	7382	6784	8383	7941	5157	6437	9134	5688	6448	7856	4771	6768	8774	8652	6356	7525	5916	5557	5778
德清	1000	6714	8812	5368	6692	5906	11903	6285		9000	3000	9235		14216		6065	8528	8181	4563
阜阳	1250	6333	7068	8767	8019	5690	8169	5207		11250	6605	6920	5000	9503	3131	5197	7282	5083	4577
福安	12500		3800	4580	3448	5297	9275		3000		5000	9133	3000	18548	4818	7675	5396	4600	5000
岳阳	12529	5097	6453	6467	7659	5838	8164	3706		3800	6687	6937	4818	11904	5476	6045	7236	7878	5923
大连	7231	5335	7809	6969	5189	5174	7028	5732	8740	5498	6664	6132	7523	7309	4947	6740	5140	5352	5526
珲春	5714	3000	7200	8770	4000	2500	13058		3000	9000		16484		5088		5423	7750	7000	4600
丹东	2900	6076	4496	6356	5217	4711	7213	15696		6021	8166	6541	40000	10578	5000	4467	6386	7459	6440
琼中黎族苗族自治县			3000	11333								7500				7000			
韩国				25000		8111						31173					10000	12500	8304
白俄罗斯												6142					5000		
冰岛																	5000		
六安	2142	5000	6847	11280	7319	4645	6817	5296	3000	5244	7711	7063	3461	10233	4714	5358	6926	4642	4304
白沙黎族自治县			4818	9000								6666				7000	12500		
黔西南布依族苗族自治州			3000	15714	6000	9000				5000		6194		16382		6600	3400	6333	1000
梅州	10000	4000	8202	9635	6577	5033	12508	3800		20439		7968		16839	7000	6767	8128	5272	4987
海阳	4333	3000	8708	7285	5115	5368	8348	17500	6333	4596	5222	7707		20978	3000	6192	8238	7350	3181
乐东	1000		3000	10125	3000	13333	3000			7000		8134		12500		5125	5666	7000	25000
德国				17500		12500			17500			38214					20454		6025
嘉峪关				8648	9288	8982	9345	3000				9196	3000	17620		5461	8496	9037	5000
沈阳	4875	6804	5608	6656	4712	5439	6385	6051	6431	5052	4921	5342	7338	7894	5024	5407	4863	5627	4669
绵阳		5300	5195	8646	6934	4511	6101	4013	5588	6301	7041	5897	5200	10678	4859	5328	6124	4865	4386
南沙开发区		7000	8125	8325	5487	6066	13911	4000		40000		9472		5700		7117	8755	5710	8550
海东	6086	4000	3800	5460	8818	7400	7235					10141		18711		5134	5848	9000	3000
阿勒泰	14281		7000	8627	5000	4937	3000					6603	9000	13302	5000	8444	4931	7000	
凉山彝族自治州	3000	3000	5000	5000	5000	5000	7000					8309	3000	9800		5666	3000	9000	5000
陕西														3000					
遂宁			6164	17766	6837	4079	7901	9000		6000	7600	7040		8485	7000	7880	7625	7263	10128
泉州	6250	4080	6103	6224	4680	5787	7861	6549		5285	6776	6408	5222	11769	4111	6088	5954	6215	5048
河源		6200	6566	13810	4909	6520	15157	6600		6319	3000	7529	12500	20137	7000	6699	7634	9090	5547
平湖	1000	6666	11152	8833	8187	6000	9813	6642			7000	8224		23672		6347	7307	8142	5549
营口	3857	4100	4585	5149	5003	5175	5484	11025		9583	4339	6102	22131	10317	2634	4656	5006	7492	4811
保定	4076	5054	6722	5937	4800	4943	6905	6296	7414	4790	4838	5247	3851	6768	4366	4948	5396	6396	4660
那曲				12500			7000					8960		36702		6299	5000		4935
宜昌	5961	5000	6205	5308	6274	4465	7219	4679		5211	4879	5633	7000	12153	6994	4878	6025	5466	4400
七台河		3000	15705	22333	4584	7359	6686	5300		3344	5285	9413		19659	4000	5433	5684	7189	9166
滁州	4346		7251	11710	6935	5321	7079	6400	3000	5236	3560	7334		8164	4500	5124	6673	5388	4538
朔州	5000	3000	4058	12736	6898	6586	6069	4375		4846	10750	7151	9000	13843	5800	6159	8102	7992	7420
张家口	6866	6184	5172	9537	7311	5104	7725	5666	5000	4012	6142	6408		9230	3500	5995	7886	8485	5706
铜陵	1250	3727	6894	9343	7610	7076	8154	4777		12833	8294	7364	5071	10737	6857	4900	8028	7545	5444
长葛	3000	3000	5519	17901	5573	6475	7880	5666	7000	5000	17500	8713		10329	3000	5316	7361	9109	3200
怒江				7555	8272	4900	9117					8142	9000	13331		5265	7902	8407	3000
平凉			3000	5857	8128	5619	13911			6166	7000	7233		11114		5089	9075	7290	2277
益阳	5000	6043	10253	6838	7279	4539	6207	3661		5000	4888	6681	4578	11691	3153	5389	8177	9836	3617
北海		3846	6623	5634	5588	5895	8807	4000		6318	9000	6913	4333	14043	5200	5744	6022	6925	3976
双城		3000	12885	25863	4560	8044	5744	7750		5000		7278		21771	5000	5000	5386	7242	6333
宜春		4875	5850	5934	6679	4632	8863	3937	3000	4600	8727	6869	6294	11191	8151	5530	6819	7562	5257
杨凌	15833	3000	5025	10525	6893	5057	12407	3125		5850		7002	3000	10887		7955	5582	9413	6229
武威			10430	5769	7635	7111	6634	7800		7000		6738		12590		4163	7676	9175	4900
阿坝藏族羌族自治州			5000	5000	4500	5000	7000					7418		9390		6600	3000	9000	5000
山东				5000								5363					5000		
阳泉	5648	3000	7280	9521	7656	8444	6231	4981		3000	6045	7052	6333	11116	7000	6251	7698	8788	5848
咸阳	11500	4733	5042	6803	7636	5737	8953	3250		5857	12160	5836	9258	6955	5875	5444	5615	5740	6198
自贡		3000	6886	17076	7758	3936	6960	4714	12500	10000	6800	7679	7000	8300	8555	5542	8688	8008	8485
云浮	5000	5000	7085	8643	4927	6172	13325	5000	3000	30750		8455		17451		6627	7546	9083	5328
安顺		3909	7875	6878	7337	8076	12531			6531	3000	7113	5000	13088		7222	6909	5340	3500
丽江			11358	8984	3805	4709	7746	4789		3500	7666	6539	9000	13241	3000	4090	8130	7928	3095
北京	12249	8978	8861	8474	6271	7929	10432	7037	9782	7687	7770	8210	7894	8410	7490	9637	7194	6546	7646
拉萨		12500	9219	10228	9245	8137	8634	5000	5000	7000		9499	8272	19689	5000	6183	9842	13730	6324
峨眉			6314	20290	7250	5414	6670	4642				7917		12310		6064	8929	9846	10823
西安	7326	6944	6031	6658	5275	5176	6774	5241	6269	5238	5077	5130	5562	6937	4425	5693	4846	4412	5034
汉中	15714	3000	4964	10434	7827	5409	9231	3133		5320	5562	6697	3133	8219	6000	5702	6499	4258	6368
鹤山		8000	7250	11181	5577	5983	13095			27666		10067		5636	3000	6870	7980	7033	8900
西宁	5644	5000	7590	8578	6788	6299	8140	4870			6200	7285	5333	12281	3113	6032	8169	10964	5892
丽水	2750	6692	6250	6325	6067	5432	11569	6375		1500	9062	8140	10866	10611	8411	5406	6324	7589	4875
喀什	5000		7000	8819	3030	6404	15615				5000	7148	12500	10651	5000	8303	6413	5000	3666
驻马店	3000	4733	5331	5778	7367	4565	6439	5333	7000	5313	7858	6541	4600	7181	7021	5298	7217	7360	4926
玉树	12250		3000	5000		7000	8200					10060		15210		5494	5297	9000	
铜川	16458	3000	4540	10664	8576	4567	9098	3095		4916	7952	7802	3000	8673	7000	7138	7484	8824	7566
莱芜	5611	4090	6943	7127	7014	6513	8540	6460	6285	7250	5133	7708	15600	10090	5450	6415	7837	6695	5633
来宾		3000	8586	4693	4966	4819	7929					8176		13736		5189	6737	7909	4684
燕郊开发区		6750	7965	8924	6330	5886	6180	5348	5000	3938	6000	6289	7000	6120	7239	6606	6399	7279	6232
迪庆藏族自治州			9000	9000	7000							6793		16071		4000	7000	9000	
昭通	25000		7000	6080	7866	6524	13687	4454		3000		7823	7500	7486	12500	4651	9109	7406	3000
延边朝鲜族自治州		3000	4666	5785	4000	5375	4125	7500				5631		11586		5394	5392	5000	6000
达州	9000		7950	15412	7431	5356	6419	6333		8714	5000	7310	3000	8628	8942	5817	8319	9071	8235
英国					9000	16500						36590		25000		17500	5833		
酒泉	3000		8071	8007	6971	8774	11084					6637	6000	16515	3000	4739	6599	9291	5000
辽宁																1000	3000		
濮阳	3000	3000	5801	7283	7848	4398	6617	4909	5666	3800	8750	7655		7868	3437	6214	7552	7657	6681
新西兰				30833		12500								25000			5000		
芜湖	1909	7776	6518	7669	6704	4385	8536	4250	6636	6740	5861	5975	6625	10605	4885	5382	6813	6250	4504
汕尾		6714	9666	11173	5881	6076	14263			8285		8680		18279		6751	9824	9055	4845
阳江		7500	6076	7738	5108	5924	11135	5000		15270	5000	7846		10417	4333	6135	7045	5428	6404
希腊																	5000		17500
九江	3200	4177	5961	6179	6601	4964	9942	4416		4636	7166	5810	5731	10939	3193	5166	6564	7323	4500
海南州	3000		3000	4000	9000	7000	9000					9501		13415		5531	4384	9000	
抚州		3000	3472	5685	6503	4590	8570	4555		4142	3200	6651	6913	10534	3000	6042	6108	9156	4833
开原	1000		7384	8923	10957	6087	5129			9583	9000	7451	40000	14651	5000	5314	7368	5539	11970
广东			9000									12500							
澳大利亚						5681	50000		17500			7458		25000		17500	5000		17500
铁岭	3500		7444	9178	7286	5277	6892	6862		6735	5086	7030	15956	12813	3105	6025	5661	6190	7230
枣庄	4333	4411	7256	7555	6717	5541	7770	6579	6214	6439	5815	6856	17500	7295	4730	6176	6690	6963	3945
大理	25000	3588	6510	7595	3912	5552	11964			7000	5785	6766	9000	8399	6351	4572	6562	10480	3500
阿根廷						8500						3000					5000		
鹤岗		3000	11631	14043	7172	7805	6347	7750		3600	5000	8265		14420	6826	5478	7706	7843	8937
大同	8333	3250	5239	7471	8330	5396	7914	4736	3000	8391	5127	6479	9000	10993	4707	6798	8093	9468	4620
银川	7080	5000	6526	8054	6023	5176	7544	6395	5000	7712	6964	6240	3800	11687	4265	5424	5804	16378	5236
毕节	25000	3000	6646	7014	6617	8929	14521	12500		4217		6733	6500	10678	8750	6434	6328	6849	3765
武穴		7000	13631	5975	7240	3350	8783	3000		5978	3500	7688		6485	7000	5673	7144	7500	6041
株洲	8250	4777	5578	7070	6127	4865	7764	4936	5000	3900	6476	6184	4500	11022	3175	5575	6397	6511	4990
公安			17500	8825	6807	5117	9746	5000		12326	5000	8348		6066	7000	5385	8550	11000	7333
珠海	6712	6795	7034	8985	6312	6282	10485	6340	3888	19595	6057	7766	13135	9729	6150	8211	6971	9599	7285
万宁	1333		12340	6285	3285	6178	5666				9000	6794		11562	9000	5430	4111	4333	25000
延边	4471	3000	5081	6304	4194	6973	7933	10635	3000	7500		6377		8566	7500	5056	5496	4166	7745
和顺		3000	7071	15634	6494	5153	7728	2250		3000	10750	7451	9000	9532	7000	5719	7172	8912	4000
瑞典																	5000		
昆山	6913	3845	7155	7239	6128	6274	6586	5156	5431	7475	7441	6033	6250	8525	4408	5512	6279	7679	5390
吉林市	9734	11394	5810	6138	5084	4890	6375	5836	3020	5304	4525	5197	3974	6971	3732	4670	5175	5306	4990
阜新	1666	4272	4213	9453	6600	4565	6421	6666		4523	6615	6819	35888	12863	1857	5944	6756	7187	8027
俄罗斯联邦	17447			7000	8714				17500			12500		17500		9750	11346		9000
忻州	3000	3095	4794	8264	6954	3699	5338	3738		3000	4944	6959	9000	11995	5833	5543	7502	8745	8475
乌兰察布		7000	4115	3454	4756	10787	5229	3000		5424	5000	6331		8937		6239	4663	8350	7400
东方	1000		5448	5380	3000	6846	14000			2750		8245		12500		5842	5722		25000
巴中		5000	5731	15090	7973	5273	6345	5117		4277	7000	7012		8132	6333	6246	8504	9280	9732
张掖	3000	3000	4942	7207	8511	8166	8595	3000		5100		6229		11347		5152	7157	8800	5000
济源	4333	3222	6108	6578	6189	5663	6430	5940	6000	3705	13250	8175		11706	3000	5866	7743	8985	4000
乐东黎族自治县			3000	9000								7400				7000			
佳木斯	5000	3000	8902	8245	5423	6670	6218	15625		4273	4166	7403		9990	4333	5305	6888	6964	7205
巴音郭楞蒙古自治州	1562		7000	8000			1000					6319		12111		5400	4600	7000	5000
广德	1285		7305	6142	8489	5338	8654	5400			3000	8353		23666	3857	7492	9647	5333	6000
泰州	7000	6451	6185	8437	5475	4845	8495	4266	6666	9101	6774	6500	7583	10063	6710	5491	5853	5877	4865
思茅			8000	11727	4176	5500	8022	3000		6000		7781	8000	13641		4897	9475	8224	3000
韶关	3000	3684	5766	7282	5301	5348	17024	4423		12387	5764	7380	21000	9774	6428	7216	7845	6780	4908
淄博	6909	3662	4849	5568	5140	5292	7763	5564	7000	4585	5812	5476	8473	7256	3896	5285	5794	7270	4574
西双版纳傣族自治州	3000		9958	14937	5000	3000	5000			3000		7051		13166		4000	6250	9000	
天津	10390	7948	6916	6363	4769	5412	7198	5325	6647	5729	5827	5387	5454	6868	4897	5539	5196	5189	5636
江西							3000												
方家山	1000	6636	12208	6600	8022	6200	10705	6176				10199		36625		6185	6152	8300	4250
神农架	1347		17500	7065	7125	4428	10044	4000		17500	5000	8162		6469	7000	5464	9230	5700	5214
鄂尔多斯	7802	4350	5870	6929	5603	8584	7725	9447		9000	5000	6415	5160	12169	5000	6305	5673	12596	5743
永济市		3000	7071	23888	7024	5035	7541	2500		3000	9000	7915	9000	17533	7000	5693	7582	8625	6750
南平	12500		4892	5909	5037	5065	10805	4681	3000	3000	5000	7486		16522	5764	5854	5503	6818	3791
河池		3000	9000	5452	6489	4912	7786	3000		3000		8099		12774	5000	4522	9123	8310	3800
黄山	1214		6032	11625	7687	5701	9696	5304	3000	3451	7105	7057		7288	3800	4789	7515	5933	3866
唐山	4416	4910	7483	7369	6047	4461	7638	6049	6636	4612	7621	5873	4700	7524	3433	5640	6187	6306	5525
白山	4554	4384	7808	9112	4286	7063	7243	5000	3000	10000	3823	7004		13325	9000	5031	5527	5107	6875
蚌埠	1250	5000	6993	6116	7100	5027	7970	4608	3000	4107	5581	6262	9000	10212	6409	4830	7014	8007	7895
南昌	4692	7970	5942	6708	6228	5177	7722	6109	7994	6382	6659	5552	5351	8600	5108	5088	5370	5372	5343
恩施土家族苗族自治州			4333	8444	8357	5888	7000				5000	6277		8200		5857	3500	8000	9000
昌江黎族自治县			3000	4500	3000		5000					7666				7000	6000		
洋浦市/洋浦经济开发区	1000		3000	8375	5000	6217	6794					8353	5000	12500	6333	5625	5239	5000	25000
锡林郭勒盟	7127	7000	4538	6804	7420	6096	5800	5000		7444	5000	6599	4333	12034		5635	6313	9258	6818
鄂州		3000	6154	8215	7250	5578	8150	4333		8421	3125	8439	5000	12835	6714	6340	7583	8136	5692
兖州	4500	3000	8593	5982	5157	4765	6900	15772	7000	9500	5400	6898		15715	3000	5780	6452	7300	3000
宣城	1250	3222	6861	7691	7210	5172	6776	5615		10068	5000	7410	13250	10482	3857	5383	7353	6000	3521
兴安盟		7000	4764	4637	7340	8325	5761			4760	4078	6439		8338		5437	6149	7425	7200
滨州	4333	4724	5284	6170	5976	6226	8320	7396	7827	5274	5563	6585	9809	8699	4433	6001	6605	7532	5080
徐州	4673	4071	7693	7031	6121	4905	6250	5523	4833	6735	6109	5311	4850	9509	4490	4975	5758	6565	4923
阿克苏	5000		7000	8188		3551	18555					6041		12369	5000	7388	5075	7000	3000
慈溪	1000	12000	6076	13375	5360	6607	11500	5666				8538		21618	5000	6972	7355	8288	6393
巢湖	5357		10788	10121	6733	5880	9464	5090	3000		3000	7829	17500	8446	4000	4943	7488	5615	3909
瑞士					9000				17500					50000			5000		5000
南阳	3000	3750	5478	6029	7080	4220	6287	5280	5500	5194	7186	6173	5000	8974	3455	5660	6879	7134	4557
红河哈尼族彝族自治州			9000	7666	5000		4000				6000	6000		13112		5000	4888	9000	
巴彦淖尔	6250	7000	6375	7000	5197	6050	6400	3214	5000	3875	5000	6317		11823	3000	5173	5038	8777	6500
玉树藏族自治州				9000								7048		18600		5800	5000	9000	
惠州	3000	7797	8325	6368	4782	5486	9771	3000	7957	13888	6131	6530	6012	12865	4303	6110	6651	11051	4854
果洛藏族自治州				9000								7500		17000		5800	5000	9000	
百色		6428	8939	7039	6189	5100	7590	12500		3470	6750	7682		12665	5000	5220	7953	8222	3800
象山	1000	6666	8809	7000	9162	5054	9000	6250				9342		34338		6656	6202	6880	4636
阿拉善盟	1000	7000	5941	6181	6629	6782	5000				5000	7187		12723		5520	5216	9000	7666
长春	4402	5270	5637	5457	4825	5132	7372	5511	4016	5542	5342	5378	5257	6485	4756	5058	4941	5035	4882
琼中	1000		3800	7500	3000	6692	4000	12500				8906		12500		5042	7000		25000
哈密	24583	13333	6333	7984		4521	22357					7719		11333	5000	7943	7733	7000	
克孜勒苏	5000	25000		9722		5222						7193		17964	5000	8364	5045	7000	
眉山		3363	8540	14900	6370	4758	8005	4111		3173	3000	6567	4846	7488	8090	5282	6422	7040	6508
白沙	1000		4794	3000	3000	11200	7750					7772		12500		5127	7000		25000
嘉兴	3666	7161	5651	7445	6298	6136	11266	5728	3000	14480	5000	7098	9284	10921	4875	7057	6436	6628	6658
凤阳	2479		10076	6000	9180	5615	6587	5500		3000		8040		21449	3857	6157	9120	5615	3480
克拉玛依	5066	12500	8571	7826	5000	4784	11021		17500	5000		6599	3000	15981	5000	7784	5673	7042	6384
宝鸡	11481	3000	5587	7312	7728	5523	7967	3850	5000	6000	7454	6630	3153	9456	4135	6673	6323	7771	6547
保亭黎族苗族自治县			3500	6000						3000		7250				7000			
巴音郭楞	1458	27272	4090	7333	3918	3250	10976			5000		6812		9636		7444	4933	7000	3666
盐城	7000	6032	6940	8241	6269	4989	8831	3516	5888	8870	4823	6226	5817	8607	4081	5148	5782	6812	4473
法国					9000	9000			17500			25000					9090		10818
上虞	1000	6333	4858	7333	8061	5888	10274	6200		3000	9000	8734		26351		6323	5602	8770	3250
白银			8421	8166	6725	6839	6892	4714				6582		12858	3000	5919	8442	8225	4111
秦皇岛	5000	5688	5420	6448	6399	8978	5847	6402	6680	5378	6375	6335	6595	9125	8320	5813	6110	6993	5550
湖南												12500							
天门			9984	7298	7169	4843	8805	3000		11839	4000	7404		10333	7000	5344	7428	6541	5500
启东		5666	7434	9626	8062	5950	9891	1500			4913	7229	5461	16557	8970	7976	5970	7833	8445
黄岛	5000	3000	6500	8000	5225	5751	10349	11200	9000	7000	5400	6162		21507	3400	5187	6856	6193	3812
昌都			5000	7428	9000	9000	8833					9194		24858		6411	3285		4936
赤峰	11500	3133	5136	4448	6345	7692	6697	6431		4702	5095	6019	3000	7173	4000	5695	6253	7136	7125
沧州	4480	4869	4686	7365	4917	4384	6456	4156	6375	5432	4784	5790	13000	6132	4011	5398	6232	7179	4916
乳山	4333	3000	7312	6676	5977	6066	8537	16650	9000	5000	5235	8255		21641	3000	5820	6881	7712	5076
